score,Sum,Correct answer,Wrong1,Wrong2,Wrong3
1,1 + 1 =,2,0,6,3
2,1 + 2 =,3,1,7,4
3,2 + 1 =,3,1,7,4
4,1 + 3 =,4,2,8,5
5,2 + 2 =,4,2,8,5
6,3 + 1 =,4,2,8,5
7,1 + 4 =,5,3,9,6
8,2 + 3 =,5,3,9,6
9,3 + 2 =,5,3,9,6
10,4 + 1 =,5,3,9,6
11,1 + 5 =,6,4,10,7
12,2 + 4 =,6,4,10,7
13,3 + 3 =,6,4,10,7
14,4 + 2 =,6,4,10,7
15,5 + 1 =,6,4,10,7
16,1 + 6 =,7,5,11,8
17,2 + 5 =,7,5,11,8
18,3 + 4 =,7,5,11,8
19,4 + 3 =,7,5,11,8
20,5 + 2 =,7,5,11,8
21,6 + 1 =,7,5,11,8
22,1 + 7 =,8,6,12,9
23,2 + 6 =,8,6,12,9
24,3 + 5 =,8,6,12,9
25,4 + 4 =,8,6,12,9
26,5 + 3 =,8,6,12,9
27,6 + 2 =,8,6,12,9
28,7 + 1 =,8,6,12,9
29,1 + 8 =,9,7,13,10
30,2 + 7 =,9,7,13,10
31,3 + 6 =,9,7,13,10
32,4 + 5 =,9,7,13,10
33,5 + 4 =,9,7,13,10
34,6 + 3 =,9,7,13,10
35,7 + 2 =,9,7,13,10
36,8 + 1 =,9,7,13,10
37,1 + 9 =,10,8,14,11
38,2 + 8 =,10,8,14,11
39,3 + 7 =,10,8,14,11
40,4 + 6 =,10,8,14,11
41,5 + 5 =,10,8,14,11
42,6 + 4 =,10,8,14,11
43,7 + 3 =,10,8,14,11
44,8 + 2 =,10,8,14,11
45,9 + 1 =,10,8,14,11
46,1 + 10 =,11,9,15,12
47,2 + 9 =,11,9,15,12
48,3 + 8 =,11,9,15,12
49,4 + 7 =,11,9,15,12
50,5 + 6 =,11,9,15,12
51,6 + 5 =,11,9,15,12
52,7 + 4 =,11,9,15,12
53,8 + 3 =,11,9,15,12
54,9 + 2 =,11,9,15,12
55,10 + 1 =,11,9,15,12
56,1 + 11 =,12,10,16,13
57,2 + 10 =,12,10,16,13
58,3 + 9 =,12,10,16,13
59,4 + 8 =,12,10,16,13
60,5 + 7 =,12,10,16,13
61,6 + 6 =,12,10,16,13
62,7 + 5 =,12,10,16,13
63,8 + 4 =,12,10,16,13
64,9 + 3 =,12,10,16,13
65,10 + 2 =,12,10,16,13
66,11 + 1 =,12,10,16,13
67,1 + 12 =,13,11,17,14
68,2 + 11 =,13,11,17,14
69,3 + 10 =,13,11,17,14
70,4 + 9 =,13,11,17,14
71,5 + 8 =,13,11,17,14
72,6 + 7 =,13,11,17,14
73,7 + 6 =,13,11,17,14
74,8 + 5 =,13,11,17,14
75,9 + 4 =,13,11,17,14
76,10 + 3 =,13,11,17,14
77,11 + 2 =,13,11,17,14
78,12 + 1 =,13,11,17,14
79,1 + 13 =,14,12,18,15
80,2 + 12 =,14,12,18,15
81,3 + 11 =,14,12,18,15
82,4 + 10 =,14,12,18,15
83,5 + 9 =,14,12,18,15
84,6 + 8 =,14,12,18,15
85,7 + 7 =,14,12,18,15
86,8 + 6 =,14,12,18,15
87,9 + 5 =,14,12,18,15
88,10 + 4 =,14,12,18,15
89,11 + 3 =,14,12,18,15
90,12 + 2 =,14,12,18,15
91,13 + 1 =,14,12,18,15
92,1 + 14 =,15,13,19,16
93,2 + 13 =,15,13,19,16
94,3 + 12 =,15,13,19,16
95,4 + 11 =,15,13,19,16
96,5 + 10 =,15,13,19,16
97,6 + 9 =,15,13,19,16
98,7 + 8 =,15,13,19,16
99,8 + 7 =,15,13,19,16
100,9 + 6 =,15,13,19,16
101,10 + 5 =,15,13,19,16
102,1 - 1 =,0,-2,4,1
103,11 + 4 =,15,13,19,16
104,1 - 2 =,-1,-3,3,0
105,12 + 3 =,15,13,19,16
106,2 - 1 =,1,-1,5,2
107,13 + 2 =,15,13,19,16
108,1 - 3 =,-2,-4,2,-1
109,14 + 1 =,15,13,19,16
110,2 - 2 =,0,-2,4,1
111,1 + 15 =,16,14,20,17
112,3 - 1 =,2,0,6,3
113,2 + 14 =,16,14,20,17
114,1 - 4 =,-3,-5,1,-2
115,3 + 13 =,16,14,20,17
116,2 - 3 =,-1,-3,3,0
117,4 + 12 =,16,14,20,17
118,3 - 2 =,1,-1,5,2
119,5 + 11 =,16,14,20,17
120,4 - 1 =,3,1,7,4
121,6 + 10 =,16,14,20,17
122,1 - 5 =,-4,-6,0,-3
123,7 + 9 =,16,14,20,17
124,2 - 4 =,-2,-4,2,-1
125,8 + 8 =,16,14,20,17
126,3 - 3 =,0,-2,4,1
127,9 + 7 =,16,14,20,17
128,4 - 2 =,2,0,6,3
129,10 + 6 =,16,14,20,17
130,5 - 1 =,4,2,8,5
131,11 + 5 =,16,14,20,17
132,1 - 6 =,-5,-7,-1,-4
133,12 + 4 =,16,14,20,17
134,2 - 5 =,-3,-5,1,-2
135,13 + 3 =,16,14,20,17
136,3 - 4 =,-1,-3,3,0
137,14 + 2 =,16,14,20,17
138,4 - 3 =,1,-1,5,2
139,15 + 1 =,16,14,20,17
140,5 - 2 =,3,1,7,4
141,1 + 16 =,17,15,21,18
142,6 - 1 =,5,3,9,6
143,2 + 15 =,17,15,21,18
144,1 - 7 =,-6,-8,-2,-5
145,3 + 14 =,17,15,21,18
146,2 - 6 =,-4,-6,0,-3
147,4 + 13 =,17,15,21,18
148,3 - 5 =,-2,-4,2,-1
149,5 + 12 =,17,15,21,18
150,4 - 4 =,0,-2,4,1
151,6 + 11 =,17,15,21,18
152,5 - 3 =,2,0,6,3
153,7 + 10 =,17,15,21,18
154,6 - 2 =,4,2,8,5
155,8 + 9 =,17,15,21,18
156,7 - 1 =,6,4,10,7
157,9 + 8 =,17,15,21,18
158,1 - 8 =,-7,-9,-3,-6
159,10 + 7 =,17,15,21,18
160,2 - 7 =,-5,-7,-1,-4
161,11 + 6 =,17,15,21,18
162,3 - 6 =,-3,-5,1,-2
163,12 + 5 =,17,15,21,18
164,4 - 5 =,-1,-3,3,0
165,13 + 4 =,17,15,21,18
166,5 - 4 =,1,-1,5,2
167,14 + 3 =,17,15,21,18
168,6 - 3 =,3,1,7,4
169,15 + 2 =,17,15,21,18
170,7 - 2 =,5,3,9,6
171,16 + 1 =,17,15,21,18
172,8 - 1 =,7,5,11,8
173,1 + 17 =,18,16,22,19
174,1 - 9 =,-8,-10,-4,-7
175,2 + 16 =,18,16,22,19
176,2 - 8 =,-6,-8,-2,-5
177,3 + 15 =,18,16,22,19
178,3 - 7 =,-4,-6,0,-3
179,4 + 14 =,18,16,22,19
180,4 - 6 =,-2,-4,2,-1
181,5 + 13 =,18,16,22,19
182,5 - 5 =,0,-2,4,1
183,6 + 12 =,18,16,22,19
184,6 - 4 =,2,0,6,3
185,7 + 11 =,18,16,22,19
186,7 - 3 =,4,2,8,5
187,8 + 10 =,18,16,22,19
188,8 - 2 =,6,4,10,7
189,9 + 9 =,18,16,22,19
190,9 - 1 =,8,6,12,9
191,10 + 8 =,18,16,22,19
192,1 - 10 =,-9,-11,-5,-8
193,11 + 7 =,18,16,22,19
194,2 - 9 =,-7,-9,-3,-6
195,12 + 6 =,18,16,22,19
196,3 - 8 =,-5,-7,-1,-4
197,13 + 5 =,18,16,22,19
198,4 - 7 =,-3,-5,1,-2
199,14 + 4 =,18,16,22,19
200,5 - 6 =,-1,-3,3,0
201,15 + 3 =,18,16,22,19
202,6 - 5 =,1,-1,5,2
203,16 + 2 =,18,16,22,19
204,7 - 4 =,3,1,7,4
205,17 + 1 =,18,16,22,19
206,8 - 3 =,5,3,9,6
207,2 + 17 =,19,17,23,20
208,9 - 2 =,7,5,11,8
209,3 + 16 =,19,17,23,20
210,10 - 1 =,9,7,13,10
211,4 + 15 =,19,17,23,20
212,1 - 11 =,-10,-12,-6,-9
213,5 + 14 =,19,17,23,20
214,2 - 10 =,-8,-10,-4,-7
215,6 + 13 =,19,17,23,20
216,3 - 9 =,-6,-8,-2,-5
217,7 + 12 =,19,17,23,20
218,4 - 8 =,-4,-6,0,-3
219,8 + 11 =,19,17,23,20
220,5 - 7 =,-2,-4,2,-1
221,9 + 10 =,19,17,23,20
222,6 - 6 =,0,-2,4,1
223,10 + 9 =,19,17,23,20
224,7 - 5 =,2,0,6,3
225,11 + 8 =,19,17,23,20
226,8 - 4 =,4,2,8,5
227,12 + 7 =,19,17,23,20
228,9 - 3 =,6,4,10,7
229,13 + 6 =,19,17,23,20
230,10 - 2 =,8,6,12,9
231,14 + 5 =,19,17,23,20
232,11 - 1 =,10,8,14,11
233,15 + 4 =,19,17,23,20
234,1 - 12 =,-11,-13,-7,-10
235,16 + 3 =,19,17,23,20
236,2 - 11 =,-9,-11,-5,-8
237,17 + 2 =,19,17,23,20
238,3 - 10 =,-7,-9,-3,-6
239,3 + 17 =,20,18,24,21
240,4 - 9 =,-5,-7,-1,-4
241,4 + 16 =,20,18,24,21
242,5 - 8 =,-3,-5,1,-2
243,5 + 15 =,20,18,24,21
244,6 - 7 =,-1,-3,3,0
245,6 + 14 =,20,18,24,21
246,7 - 6 =,1,-1,5,2
247,7 + 13 =,20,18,24,21
248,8 - 5 =,3,1,7,4
249,8 + 12 =,20,18,24,21
250,9 - 4 =,5,3,9,6
251,9 + 11 =,20,18,24,21
252,10 - 3 =,7,5,11,8
253,10 + 10 =,20,18,24,21
254,11 - 2 =,9,7,13,10
255,11 + 9 =,20,18,24,21
256,12 - 1 =,11,9,15,12
257,12 + 8 =,20,18,24,21
258,1 - 13 =,-12,-14,-8,-11
259,13 + 7 =,20,18,24,21
260,2 - 12 =,-10,-12,-6,-9
261,14 + 6 =,20,18,24,21
262,3 - 11 =,-8,-10,-4,-7
263,15 + 5 =,20,18,24,21
264,4 - 10 =,-6,-8,-2,-5
265,16 + 4 =,20,18,24,21
266,5 - 9 =,-4,-6,0,-3
267,17 + 3 =,20,18,24,21
268,6 - 8 =,-2,-4,2,-1
269,4 + 17 =,21,19,25,22
270,7 - 7 =,0,-2,4,1
271,5 + 16 =,21,19,25,22
272,8 - 6 =,2,0,6,3
273,6 + 15 =,21,19,25,22
274,9 - 5 =,4,2,8,5
275,7 + 14 =,21,19,25,22
276,10 - 4 =,6,4,10,7
277,8 + 13 =,21,19,25,22
278,11 - 3 =,8,6,12,9
279,9 + 12 =,21,19,25,22
280,12 - 2 =,10,8,14,11
281,10 + 11 =,21,19,25,22
282,13 - 1 =,12,10,16,13
283,11 + 10 =,21,19,25,22
284,1 - 14 =,-13,-15,-9,-12
285,12 + 9 =,21,19,25,22
286,2 - 13 =,-11,-13,-7,-10
287,13 + 8 =,21,19,25,22
288,3 - 12 =,-9,-11,-5,-8
289,14 + 7 =,21,19,25,22
290,4 - 11 =,-7,-9,-3,-6
291,15 + 6 =,21,19,25,22
292,5 - 10 =,-5,-7,-1,-4
293,16 + 5 =,21,19,25,22
294,6 - 9 =,-3,-5,1,-2
295,17 + 4 =,21,19,25,22
296,7 - 8 =,-1,-3,3,0
297,5 + 17 =,22,20,26,23
298,8 - 7 =,1,-1,5,2
299,6 + 16 =,22,20,26,23
300,9 - 6 =,3,1,7,4
301,7 + 15 =,22,20,26,23
302,10 - 5 =,5,3,9,6
303,8 + 14 =,22,20,26,23
304,11 - 4 =,7,5,11,8
305,9 + 13 =,22,20,26,23
306,12 - 3 =,9,7,13,10
307,10 + 12 =,22,20,26,23
308,13 - 2 =,11,9,15,12
309,11 + 11 =,22,20,26,23
310,14 - 1 =,13,11,17,14
311,2 * 2 =,4,2,8,5
312,12 + 10 =,22,20,26,23
313,1 - 15 =,-14,-16,-10,-13
314,13 + 9 =,22,20,26,23
315,2 - 14 =,-12,-14,-8,-11
316,14 + 8 =,22,20,26,23
317,3 - 13 =,-10,-12,-6,-9
318,2 * 3 =,6,4,10,7
319,15 + 7 =,22,20,26,23
320,4 - 12 =,-8,-10,-4,-7
321,3 * 2 =,6,4,10,7
322,16 + 6 =,22,20,26,23
323,5 - 11 =,-6,-8,-2,-5
324,17 + 5 =,22,20,26,23
325,6 - 10 =,-4,-6,0,-3
326,6 + 17 =,23,21,27,24
327,7 - 9 =,-2,-4,2,-1
328,2 * 4 =,8,6,12,9
329,7 + 16 =,23,21,27,24
330,8 - 8 =,0,-2,4,1
331,3 * 3 =,9,7,13,10
332,8 + 15 =,23,21,27,24
333,9 - 7 =,2,0,6,3
334,4 * 2 =,8,6,12,9
335,9 + 14 =,23,21,27,24
336,10 - 6 =,4,2,8,5
337,10 + 13 =,23,21,27,24
338,11 - 5 =,6,4,10,7
339,11 + 12 =,23,21,27,24
340,12 - 4 =,8,6,12,9
341,2 * 5 =,10,8,14,11
342,12 + 11 =,23,21,27,24
343,13 - 3 =,10,8,14,11
344,3 * 4 =,12,10,16,13
345,13 + 10 =,23,21,27,24
346,14 - 2 =,12,10,16,13
347,4 * 3 =,12,10,16,13
348,14 + 9 =,23,21,27,24
349,15 - 1 =,14,12,18,15
350,5 * 2 =,10,8,14,11
351,15 + 8 =,23,21,27,24
352,1 - 16 =,-15,-17,-11,-14
353,16 + 7 =,23,21,27,24
354,2 - 15 =,-13,-15,-9,-12
355,17 + 6 =,23,21,27,24
